sezione,oggetto,dettaglio
INDICI,restaurant_hours,"CREATE UNIQUE INDEX restaurant_hours_restaurant_id_day_of_week_key ON public.restaurant_hours USING btree (restaurant_id, day_of_week)  |  CREATE UNIQUE INDEX restaurant_hours_pkey ON public.restaurant_hours USING btree (id)"
INDICI,restaurants,CREATE UNIQUE INDEX restaurants_pkey ON public.restaurants USING btree (id)  |  CREATE UNIQUE INDEX restaurants_slug_key ON public.restaurants USING btree (slug)  |  CREATE UNIQUE INDEX restaurants_email_key ON public.restaurants USING btree (email)
RLS_ATTIVA,bookings,ENABLED
RLS_ATTIVA,delivery_zones,ENABLED
RLS_ATTIVA,menu_categories,ENABLED
RLS_ATTIVA,menu_items,ENABLED
RLS_ATTIVA,order_items,ENABLED
RLS_ATTIVA,orders,ENABLED
RLS_ATTIVA,platform_settings,ENABLED
RLS_ATTIVA,profiles,ENABLED
RLS_ATTIVA,promos,ENABLED
RLS_ATTIVA,restaurant_categories,ENABLED
RLS_ATTIVA,restaurant_hours,ENABLED
RLS_ATTIVA,restaurants,ENABLED
POLICY,bookings · bookings: owner all,ALL | roles=public | USING(((restaurant_id = my_restaurant_id()) OR is_admin())) | CHECK(-)
POLICY,bookings · bookings: public insert,INSERT | roles=public | USING(-) | CHECK(true)
POLICY,delivery_zones · delivery_zones: owner write,ALL | roles=public | USING(((restaurant_id = my_restaurant_id()) OR is_admin())) | CHECK(-)
POLICY,delivery_zones · delivery_zones: public read,SELECT | roles=public | USING(((restaurant_id = my_restaurant_id()) OR is_admin() OR (restaurant_id IN ( SELECT restaurants.id    FROM restaurants   WHERE (restaurants.status = 'published'::text))))) | CHECK(-)
POLICY,menu_categories · menu_categories: owner,ALL | roles=public | USING(((restaurant_id = my_restaurant_id()) OR is_admin())) | CHECK(-)
POLICY,menu_categories · menu_categories: public read,SELECT | roles=public | USING(((restaurant_id IN ( SELECT restaurants.id    FROM restaurants   WHERE (restaurants.status = 'published'::text))) OR (restaurant_id = my_restaurant_id()) OR is_admin())) | CHECK(-)
POLICY,menu_items · menu_items: owner write,ALL | roles=public | USING(((restaurant_id = my_restaurant_id()) OR is_admin())) | CHECK(-)
POLICY,menu_items · menu_items: public read,SELECT | roles=public | USING(((restaurant_id IN ( SELECT restaurants.id    FROM restaurants   WHERE (restaurants.status = 'published'::text))) OR (restaurant_id = my_restaurant_id()) OR is_admin())) | CHECK(-)
POLICY,order_items · order_items: owner read,SELECT | roles=public | USING(((order_id IN ( SELECT orders.id    FROM orders   WHERE (orders.restaurant_id = my_restaurant_id()))) OR is_admin())) | CHECK(-)
POLICY,order_items · order_items: public insert,INSERT | roles=public | USING(-) | CHECK(true)
